id,symbol,name
317,DZF,大成期貨
318,E4F,臺灣永續期貨
319,EA1,佳格期貨
320,EAF,佳格期貨
321,EB1,聯華期貨
322,EBF,聯華期貨
323,EC1,台聚期貨
324,ECF,台聚期貨
325,ED1,亞聚期貨
326,EDF,亞聚期貨
327,EE,國喬(股票期貨)
328,EEF,國喬期貨
329,EF1,聯成期貨
330,EFF,聯成期貨
331,EG,中石化(股票期貨)
332,EG1,中石化期貨
333,EGF,中石化期貨
334,EH,東陽(股票期貨)
335,EH1,東陽期貨
336,EHF,東陽期貨
337,EI1,新纖期貨
338,EIF,新纖期貨
339,EJF,新紡期貨
340,EK1,南紡期貨
341,EKF,南紡期貨
342,EL1,力麗期貨
343,ELF,力麗期貨
344,EM,東元(股票期貨)
345,EMF,東元期貨
346,ENF,永大期貨
347,EOF,中砂期貨
348,EP,亞德客-KY(股票期貨)
349,EP1,亞德客-KY期貨
350,EPF,亞德客-KY期貨
351,EQF,中電期貨
352,ER,南僑(股票期貨)
353,ERF,南僑期貨
354,ES1,榮化期貨
355,ESF,榮化期貨
356,ETC,股票選擇權(受益憑證)
357,ETF,股票期貨(受益憑證)
358,EU1,東聯期貨
359,EUF,東聯期貨
360,EV1,永光期貨
361,EVF,永光期貨
362,EW1,和桐期貨
363,EWF,和桐期貨
364,EXF,電子期貨
365,EY,中纖(股票期貨)
366,EY1,中纖期貨
367,EYF,中纖期貨
368,EZ,台肥(股票期貨)
369,EZF,台肥期貨
370,F1F,英國富時100期貨
371,FAF,中碳期貨
372,FB,東和鋼鐵(股票期貨)
373,FBF,東和鋼鐵期貨
374,FC1,中鴻期貨
375,FCF,中鴻期貨
376,FDF,豐興期貨
377,FE,大成鋼(股票期貨)
378,FE1,大成鋼期貨
379,FE2,大成鋼期貨
380,FEF,大成鋼期貨
381,FF,上銀(股票期貨)
382,FF1,上銀期貨
383,FFF,上銀期貨
384,FG,川湖(股票期貨)
385,FGF,川湖期貨
386,FH1,南港期貨
387,FHF,南港期貨
388,FI1,台橡期貨
389,FIF,台橡期貨
390,FJF,中橡期貨
391,FK,正新(股票期貨)
392,FK1,正新期貨
393,FKF,正新期貨
394,FL1,建大期貨
395,FLF,建大期貨
396,FM1,厚生期貨
397,FMF,厚生期貨
398,FN,裕隆(股票期貨)
399,FN1,裕隆期貨
